Locacion_usuario,Locacion_usuario
 ,4
  ,1
                     Te sigue ,1
   Orión ,4
  España,1
 19| ella 🇲🇽,1
 3ee ,1
 Catalunya II⭐️II ,1
 Colombia,3
 DEA,2
 Donde juegue él Atléti  🇦🇹,1
 España,2
 Guatemala,2
 Peru,1
 Perú,1
 Perú ,1
 Regnum Teutonicorum,3
 Salamanca.España,1
" Sevilla, SPAIN",1
 de Butan osea butanero,1
 jeno's gf,4
 venezuela,2
 🇪🇸 || 🇨🇿,1
 🇮🇨 ,1
 🇻🇪,1
"""En el corazon de los niños""",1
## s𝗢𝖴𝖫𝖨𝗘 !! %% あなたは私があなた,1
#15M #sisepuede #15M,1
#Emigrado,1
#Madrid ,1
#RadFem,1
#Salamanca #Donostia,2
#Valladolid,1
#VamosQueVamos ,2
(En las TABERNAS)Chamberí ,1
(Taylor’s version),1
- Montajista -,1
.  ,3
...,2
"0,006 A",1
019,1
02.03 💌,2
1 y 57,1
10 Downing Street - If Castle,3
"10-8-80 Malibu Point, 90265",1
102.5 FM en Santiago,1
131114 ,2
140322| meu gormiti | she/her,1
15|ic:@HiChuya,2
18,1
20 (?),1
20 | ?,1
20/03 FF,1
22/03/2019 👑 ,1
221 B,1
26,2
"29° 2′ 56″ N, 13° 37′ 12″ W",1
"2x3 acá, 2x3 allá ",1
2️⃣0️⃣1️⃣1️⃣  NO 2️⃣0️⃣1️⃣9️⃣ ,2
3/4 de cancha del Arsenal 04',1
"38.87443,-6.990137",1
49° 08' 00 N 12° 11' 00 W,4
593,1
"666st., Helltown.",1
7ak bat,1
?,1
@KlaseObrera@mastodon.social,1
@kyuxhae ♥  愛してる,2
A Coruña,3
"A Coruña, España",4
"A Coruña, Galicia",1
A caballo entre Ibiza y Madrid,1
A la derecha de la derecha,2
A la derecha de la derecha. ,1
"ALICANTE, ESPAÑA",2
ALMERIA ,2
ARGENTINA,9
ARMY 🇵🇦,1
ASEAN,4
ASTORGA,1
ATIVEM AS NOTIFICAÇÕES🔔,1
Abadia de Teleme,1
Abajo a la derecha.,1
Above the skyline. ,3
Acapulco,1
"Acapulco de Juárez, Guerrero",3
"Achinech, Canarias",2
Adriatirrenia ma non troppo.,1
Aeropuerto de Estambul,1
Afganistán,1
"Aguadulce, España",1
"Aguascalientes, México",5
"Agüimes, España",1
Al Norte del Norte,1
Al Sur,2
Al Sur del Sur ,2
Al espacio y más allá ,1
"Al final, Mordor",1
"Al fondo, a la derecha. ",1
Al lado de la fosa del AVE ,2
Alacant,1
"Alajuela, Costa Rica",3
Albacete,3
Albacete (España).,1
"Albacete, España",3
Albania,7
"Alberic, València📍 Alacant",1
Alcalá de Henares,1
"Alcalá de Henares, España",3
"Alcalá de Henares, Madrid",1
"Alcantarilla, España",1
Alcobendas.Madrid.,1
"Alcorcón, España",5
Alemania,1
Algete,1
"Algun lugar, de cuyo nombre...",1
Algún lugar del bello norte .,1
"Alhaurín de la Torre, España",2
Alicante,5
"Alicante, Comunidad Valenciana",1
"Alicante, España",23
"Alicante, España. ",3
"Alicante, Reino de España",2
"Alicante, Spain",1
Alicante-España,1
All around the world,1
All you need Is Ecuador,3
Allende los mares,1
Allá donde regresa el fugitivo,1
Almagro,1
"Almedinilla, España",2
"Almenara, Brasil",1
Almeria,4
"Almería,Lima,Quito",2
"Almirante Brown, Argentina",2
Alpedrete,1
"Altillo Universidad, Coyoacán",1
"Alto Hospicio, Chile",1
Amante de la vida 🖤👣,1
Ambato Ecuador,1
"Ambato, Ecuador",2
