ID,Tweet,Creado_tweet,Locacion_usuario,Seguidores_usuario,Amigos_usuario,Favoritos_usuario,Descripcion_usuario,Verificado_usuario,Idioma,Tipo
1206924075374956547,"Las feminazis quieren por poco que este chico vaya preso por su humor negro, porque eso es violencia y no libre expresión.
Una diputada provincial amenaza físicamente a un persona en concreto, y eso no es violencia si no libertad de expresión.
Hay confusión de conceptos https://t.co/51xCjJDiyK",2019-12-17 13:08:17,Argentina,1683,2709,28982,"El Progresismo es un Cáncer que quiere destruir occidente.
Socialismo, Feminismo, LGBT+++, Multiculturalismo y todo lo que se les parezca, no suman, rompen.",False,es,misogino
1210912199402819584,"@CarlosVerareal @Galois2807 Los halagos con piropos educados no deben molestar, hay muchísimas parejas q iniciaron su relación así, estamos en un tiempo en donde la #feminazis critican hasta al aire q las toca... Y eso está re mal.",2019-12-28 13:15:40,Ecuador,398,1668,3123,"Cuando te encuentres n una situación imposible, recuerda q lo q s imposible para el humano,es posible para DIOS.",False,es,misogino
1210643148998938625,"@drummniatico No se vaya asustar! Ese es el gremio de feminazis... el cuartel de las feas, que si le dices preciosas, se ofenden, xq piensa que te le burlas, pues ellas saben que no lo son! https://t.co/c2akcV1IJf",2019-12-27 19:26:34,Samborondon - Ecuador ,1901,1432,39508,Todo se alinea a nuestro favor.  💙💙💙💙,False,es,misogino
1210643148998938625,"@drummniatico No se vaya asustar! Ese es el gremio de feminazis... el cuartel de las feas, que si le dices preciosas, se ofenden, xq piensa que te le burlas, pues ellas saben que no lo son! https://t.co/c2akcV1IJf",2019-12-27 19:26:34,Samborondon - Ecuador ,1901,1432,39508,Todo se alinea a nuestro favor.  💙💙💙💙,False,es,misogino
1203627609759920128,Mostritas #Feminazi amenazando como ellas saben. https://t.co/NPYWWiqaVV,2019-12-08 10:49:19,"Lima, Perú",2505,3825,45087,Latam News Report. Regional and World affairs. Análisis político y de actualidad. Filiación de Centro Derecha. No toleramos populismos baratos.,False,es,misogino
1203627609759920128,Mostritas #Feminazi amenazando como ellas saben. https://t.co/NPYWWiqaVV,2019-12-08 10:49:19,"Lima, Perú",2505,3825,45087,Latam News Report. Regional and World affairs. Análisis político y de actualidad. Filiación de Centro Derecha. No toleramos populismos baratos.,False,es,misogino
1208145724879364100,"Si usted es FEMINAZI ⤵️
NO se le ocurra celebrar la Navidad
NI pedir Regalos.
Nosotros celebramos un Nacimiento No un aborto",2019-12-20 22:02:41,David,1496,1130,51875,,False,es,misogino
1206606011534057474,Esas feminazis son más intensas que los testigos de Jehová https://t.co/Kdl51RLgQl,2019-12-16 16:04:25,"Barquisimeto, Venezuela",78034,8677,344603,"Toda acción tiene una reacción igual o contraria, depende de la fuerza que se ejerce",False,es,misogino
1209681912492675072,@CaroHurtadoG @RoloConCulo @CristoAtado Feminazis descubren la paja,2019-12-25 03:46:57,"Chupamestepenco, Atlántico",106,258,50058,,False,es,misogino
1208160409510912008,@Tiqui_Baquerizo @DrProChoice @emilioer @AvaFelix3 @GraceVegas90 Claro que si las niñas y niños por nacer nos  recuerdan el nacimiento del niño Jesús pero como las Feminazis trapo verde no creen en Dios como un rito satánico prefieren sacrificar inocentes y no lo vamos a permitir,2019-12-20 23:01:02,Guayaquil-Ecuador ,969,4884,1926,"REINA Universitaria Ecuador 1998  👑  amo a mi familia soy abogada, Dios  es quien me da esa fuerza.. SALVEMOS LAS 2 ViDAS💙💙💙",False,es,misogino
1206646560618094594,@LaFallaras Payasa háztelo mirar,2019-12-16 18:45:33,,260,600,57459,Por España y el que quiera defenderla honrado muera.,False,es,misogino
1204535986971131911,"Fea, ladrona y para mas cagarla...ordinaria.
Que diferencia con la caballerosidad del ex presidente Macri...feminazi? https://t.co/CQkB9GfEK9",2019-12-10 22:58:53,,355,534,4875,Hasta las cachas con los políticos zurdoides,False,es,misogino
1206440616101588992,@DianaMayora ASÍ COMO TUS DELIRIOS FEMINAZIS? JAJAJJAJAJAJAJAJAJA. duermase.,2019-12-16 05:07:12,Panamá,1221,583,23036,No molestar.,False,es,misogino
1206072779000438784,@cristiancrespoj No es demonio es una histérica feminazi,2019-12-15 04:45:32,Ecuador,601,681,74143,cuidemos la creación de Dios,False,es,misogino
1206072779000438784,@cristiancrespoj No es demonio es una histérica feminazi,2019-12-15 04:45:32,Ecuador,601,681,74143,cuidemos la creación de Dios,False,es,misogino
1204470688624652288,Esto no es feminismo es ser #Feminazi de mierda. https://t.co/nHCtWyvdHm,2019-12-10 18:39:24,Hornocity 🔥,796,1909,86077,"No importa lo que digas y cómo te justifiques, eres lo que haces, tu comportamiento habla por ti, te delata y te señala.

Intagram: yosoyeljuanpi😎",False,es,misogino
1204470688624652288,Esto no es feminismo es ser #Feminazi de mierda. https://t.co/nHCtWyvdHm,2019-12-10 18:39:24,Hornocity 🔥,796,1909,86077,"No importa lo que digas y cómo te justifiques, eres lo que haces, tu comportamiento habla por ti, te delata y te señala.

Intagram: yosoyeljuanpi😎",False,es,misogino
1204470688624652288,Esto no es feminismo es ser #Feminazi de mierda. https://t.co/nHCtWyvdHm,2019-12-10 18:39:24,Hornocity 🔥,796,1909,86077,"No importa lo que digas y cómo te justifiques, eres lo que haces, tu comportamiento habla por ti, te delata y te señala.

Intagram: yosoyeljuanpi😎",False,es,misogino
1204470688624652288,Esto no es feminismo es ser #Feminazi de mierda. https://t.co/nHCtWyvdHm,2019-12-10 18:39:24,Hornocity 🔥,796,1909,86077,"No importa lo que digas y cómo te justifiques, eres lo que haces, tu comportamiento habla por ti, te delata y te señala.

Intagram: yosoyeljuanpi😎",False,es,misogino
1204470688624652288,Esto no es feminismo es ser #Feminazi de mierda. https://t.co/nHCtWyvdHm,2019-12-10 18:39:24,Hornocity 🔥,796,1909,86077,"No importa lo que digas y cómo te justifiques, eres lo que haces, tu comportamiento habla por ti, te delata y te señala.

Intagram: yosoyeljuanpi😎",False,es,misogino
1207453546834276358,Las feminazis del siglo XXI. Cualquier pendejada les parece una ofensa terrible: https://t.co/NZo3NlKY8h,2019-12-19 00:12:13,"Bucaramanga, Santander",709,365,8172,Jefe de Publicaciones UIS. Columnista Vanguardia y El Unicornio. Docente. Grupo Los Muchos. Festivalito Ruitoqueño.,False,es,misogino
1212813782071808006,"@La3EnDiscordia Típico programita feminazi y asqueroso.
Aplaudiendo la infidelidad de la esposa hacia el marido.
Es un asco que este tipo de programas exista si quiera.",2020-01-02 19:11:53,Guatemala,37,128,268,Just me and My Eternal Pain,False,es,misogino
1209256450507206657,Ni porque sea feminazi la hdsptm https://t.co/lee8tjs3cl,2019-12-23 23:36:19,oaxaca,45,258,36550,,False,es,misogino
1207699408558731270,"@VaneOblitas1 @MilagrosLeivaG Atea y feminazi, ya para que responderle la bestialidad que escribe...",2019-12-19 16:29:11,Lima-Perú,1622,6150,112226,"Administrador UCSS, amigo leal, honesto y sincero, la familia siempre 👨‍👩‍👧‍👦 / ✈️🚢 🚵‍♂️ 🏈🏀🏐🥎 / ⚽ Y Dale U x 100pre !!!",False,es,misogino
1210673404904431624,"#FEMINAZIS unidas con propósitos #PROMUERTE trabajando para PLANNED PARENTHOOD 
#GeorgeSoros #ippf  #ONU #CIDH https://t.co/smJH0e2r4N",2019-12-27 21:26:47,"Guayaquil, Ecuador",1409,1890,38442,"Móvimiento Civil a favor de la Vida la Familia y sus derechos
#AntiProgress #AntiGlobalista 🇪🇨
#FollowProvida 💙",False,es,misogino
1210879966423998470,Porque cuando imponen sobre la vida y la libertad de alguien más ahí serán feminazis. https://t.co/7ZnPqeMHHs,2019-12-28 11:07:35,"Lara, Venezuela",4778,1625,37388,"Escribo porque no he leído suficiente.


Te invito al maravilloso riesgo de la Libertad.",False,es,misogino
1228071567449567233,"me gusta mas esta version que la de las feminazis ,el zurdito capusotto me cabe https://t.co/epbvhA6o4z",2020-02-13 21:40:52,argentina Rosario,675,1033,15935,"al borde de la simpatía ,cara de orto casi siempre 🇦🇷🇦🇷🇦🇷 ✝️",False,es,misogino
1212922061758304256,"@Josefina_28 Otra feminazi. Creyendo que matando al mensajero arregla el problema. Lástima que el PUCP hicieron pésimo trabajo consigo. Todas tus apostillas tienes millones de apostillas más q las dejan sin piso. Ilústrate , luego critica.",2020-01-03 02:22:09,"Surco, Lima, Peru",346,1280,66734,La combinación de la inteligencia en diferentes personas tiene menos impacto que la combinación de la estupidez.,False,es,misogino
1212922061758304256,"@Josefina_28 Otra feminazi. Creyendo que matando al mensajero arregla el problema. Lástima que el PUCP hicieron pésimo trabajo consigo. Todas tus apostillas tienes millones de apostillas más q las dejan sin piso. Ilústrate , luego critica.",2020-01-03 02:22:09,"Surco, Lima, Peru",346,1280,66734,La combinación de la inteligencia en diferentes personas tiene menos impacto que la combinación de la estupidez.,False,es,misogino
1211782685548527627,"Esas feminazis son la cagada...
😂😂😂😂 https://t.co/pcRp6JtM21",2019-12-30 22:54:40,,1062,895,182629,"If you've got time to fantasize about a beautiful death, why not live beautifully until the end?",False,es,misogino
1210255386030292992,"@LaFallaras Lo de puta bien, a ver si empiezas a follar y dejas de joder.",2019-12-26 17:45:44,,1278,1341,54553,,False,es,misogino
1210255386030292992,"@LaFallaras Lo de puta bien, a ver si empiezas a follar y dejas de joder.",2019-12-26 17:45:44,,1278,1341,54553,,False,es,misogino
1210255386030292992,"@LaFallaras Lo de puta bien, a ver si empiezas a follar y dejas de joder.",2019-12-26 17:45:44,,1278,1341,54553,,False,es,misogino
1205805374839894016,"@LaFallaras @populares @CiudadanosCs Hola Sra. patética .. IGUALDAD ¿ sabe lo que significa esta palabra?? 

https://t.co/lFhdV4M2NZ",2019-12-14 11:02:58,España,6211,5569,92871,#ChicasVox® 💚 #LaAlternativa #LasFeminazisAMíNoMeRepresentan #EspañaNoSeRompe #GobiernoDimision #ProtejamosEspaña #LuchemosContraElComunismo,False,es,misogino
1205805374839894016,"@LaFallaras @populares @CiudadanosCs Hola Sra. patética .. IGUALDAD ¿ sabe lo que significa esta palabra?? 

https://t.co/lFhdV4M2NZ",2019-12-14 11:02:58,España,6211,5569,92871,#ChicasVox® 💚 #LaAlternativa #LasFeminazisAMíNoMeRepresentan #EspañaNoSeRompe #GobiernoDimision #ProtejamosEspaña #LuchemosContraElComunismo,False,es,misogino
1204070527603744768,"... feminazi y chavista. Todos les salpica.

Ustedes dan miedo.",2019-12-09 16:09:18,"Mérida, Venezuela",86816,997,104524,Lingüista. La jeva que explica los chistes. Más dramática que gramática.,False,es,misogino
1204070527603744768,"... feminazi y chavista. Todos les salpica.

Ustedes dan miedo.",2019-12-09 16:09:18,"Mérida, Venezuela",86816,997,104524,Lingüista. La jeva que explica los chistes. Más dramática que gramática.,False,es,misogino
1204070527603744768,"... feminazi y chavista. Todos les salpica.

Ustedes dan miedo.",2019-12-09 16:09:18,"Mérida, Venezuela",86816,997,104524,Lingüista. La jeva que explica los chistes. Más dramática que gramática.,False,es,misogino
1211237059807121409,@LaFallaras Eres una patética.,2019-12-29 10:46:33,"Málaga, España",6405,1124,71658,Ahora soy un bot. Más izquierda griega y menos progresismo español. Cansada. No tuiteo para nadie. 🔞,False,es,misogino
