Assignment group,FullDescr,Resolution notes
DPSMAN Global L2," Need someone to clear the Actual Ship Date field in CT01.  
SESA ID / D ID: SESA5999
Caller’s Name: Connie Laughlin
Contact Number: 615-844-8593
Email: connie.laughlin@se.com

Related case #s (case history): not available

Location, remote/hotel/office: office
Application Name: q2c
Number of Known Affected Users :  single user

What is the issue/problem: 
When did the issue/problem begin:today
Logon id: not available
Error message (if any): not available
When was the last time it worked properly: today
Have there been 
any changes to your PC since the last time it worked properly: no
Have you changed your password recently: no

Troubleshooting steps

>A Q2C line item was transferred to Rojo Gomez Plant and has now been transferred back to Smyrna Plant.  Need someone to clear the Actual Ship Date field in CT01.  The Q2C Item is:

44369038-002 

Reference similar request on KSR000013207494 completed on 1/10/2022.","Issue: Need someone to clear the Actual Ship Date field in CT01.  The Q2C Item is: 44369038-002 

Resolution:
Ran adhoc job from PDS ---- > FLORDP.OPERPGM.CNTL(GPCT990M) to clear the Actual Ship Date for Q2C item  44369038-002 
"
DPSMAN Global L2," Need someone to clear the Actual Ship Date field in CT01.  
SESA ID / D ID: SESA5999
Caller’s Name: Connie Laughlin
Contact Number: 615-844-8593
Email: connie.laughlin@se.com

Related case #s (case history): not available

Location, remote/hotel/office: office
Application Name: q2c
Number of Known Affected Users :  single user

What is the issue/problem: 
When did the issue/problem begin:today
Logon id: not available
Error message (if any): not available
When was the last time it worked properly: today
Have there been 
any changes to your PC since the last time it worked properly: no
Have you changed your password recently: no

Troubleshooting steps

>A Q2C line item was transferred to Rojo Gomez Plant and has now been transferred back to Smyrna Plant.  Need someone to clear the Actual Ship Date field in CT01.  The Q2C Item is:

44369038-002 
","Ran job FLORDP.OPERPGM.CNTL(GPCT990M) to clear out Actual Ship Date for Smyrna Q2C order: #43969608-001/002/003.  
***Important note:  Updated dataset: GPPD.PRD.GPSHIP.SIPDTNUL.DT062222 before running the job"
DPSMAN Global L2," SYSA (IOCALERT) CTM3 SYSA-CTM282I SMCOT002 J22993 ENDED NOTOK RC=2974 !  SYSA (IOCALERT) CTM3 SYSA-CTM282I SMCOT002 J22993 ENDED NOTOK RC=2974 !           *                  


EventID: 20220702-1656803597-3572271-SYSA
EventSender: ATF-IOC-1
EventType: PERFORMANCE
EventSenderType: ATF-IOC-1
EventClass: IOCALERT
EventSeverity: 3
Hostname: SYSA
Message: CTM3 SYSA-CTM282I SMCOT002 J22993 ENDED NOTOK RC=2974 !           *                                     U-IOADMIN .Occurred @ 19:14:16
ConfigItemIDType: CIID
ConfigItemID: SNC.G.P01.013947179
SupportGroup: 
TTCategory: Mainframe.JobSchedule.ProdCntl
CorrelationTime: SEV processed event after 5 min  
TimeOccured: 2022-07-02T23:13:17Z
CreatedBy: ATF-EVENTROUTER-1

Additional Attributes:
incident_urgency: 3
FunctionalOrganization: SCHNEIDER ELECTRIC
incident_impact: 3

==================================================
RM
Ravikanth S M
Work notes•2022-07-02 19:23:27
Hi SD Team,

Please raise a sev2 ticket to DPSMAN group.
","Problem:SYSA (IOCALERT) CTM3 SYSA-CTM282I SMCOT002 J22993 ENDED NOTOK RC=2974 !           *  

Cause: [ Main Cause Type: Infrastructure ;Sub Cause Type: FTP service unavailable ]

Cause description :  FTP service unavailable 

Action taken : Force completed the job and informed the respective team on the issue and opned
a ticket.

Customer Confirmation : NA"
DPSMAN Global L2,"AMAPS - AM17 is down SESA ID:  SESA335093
Caller's name:  SESA335093
E-mail address:  Kaylee.Snyder@se.com
Primary contact no.:  6124629493
Alternate contact no.:  6159448259
Secondary contact person/s:  Tim Casteel
User's site or office location:  Smyrna, Tennessee
Number of users currently known affected:  60
Application name/s affected:  AMAPS
Is it a database server/application? Application
If it is, what is the database name affected? Not a database
Server's location:  No idea as per user
What is the exact issue?  When tried to login using credentials, AM17 task is not responding (It returns on the home screen)
When did the issue/problem begin? Today
Is there a work around? No work around as per customer
If there is, what is the work around applied? No work around
Service stopped or partially impacted: Service Stopped as per customer
Exact error message:  No exact error, it's just returning to home screen after entering AM17
Business impact (How does this issue affect the Schneider business?): Business impact to Smyrna plant for $1M revenue impact to US power systems business. AMAPS is business critical for supply chain and warehouse teams
","Problem:  What is the exact issue?  
When tried to login using credentials, AM17 task is not responding (It returns on the home screen)

Cause: [ Main Cause Type:Scheduling issue;Sub Cause Type: Delay in Batch job ]

Cause description : Smyrna is down as batch jobs not completed yetdue to slowness in mainframe.

Action taken : once batch jobs completed, informed user that plant is online.

Customer Confirmation : via chat"
DPSMAN Global L2,"AMAPS - Login issues -SESA ID: SESA275795
-Caller’s Name: Andrew Anderson
-Contact number: +1 513-881-4143
-Email Address: Andrew.Anderson@se.com
-Location, remote/hotel/office: AM68 Fairfield 
-Application Name: AMAPS
-Number of Known Affected Users: All users on the plant

-What is the issue/problem: User reported all users on AM68 (Fairfield) are unable to connect to AMAPS affecting supply planning


-When did the issue/problem begin: 6/9/22 8:06am

Related case (case history):n/a

-Troubleshooting steps (detailed):
During chat session the service was restored
Assigning the ticket to report the issue to the assigned team DPSMAN Global L2","Problem:Problem/Issue: User reported all users on AM68 (Fairfield) are unable to connect to
 AMAPS affecting supply planning

Cause: [ Main Cause Type:Infrastructure;Sub Cause Type: Third Party API/Tool issue ]

Cause description : unable to access AMAPS 

Action taken : Automatic resolution as system was down for batch delay.After batch is completed,
system is up.

Customer Confirmation : Confirmed with User"
DPSMAN Global L2,"ecs02 (LOG_BATCH_JOB_MON) job_name: LWS_Distribution_Monterrey, host_id: cisnt09, message: Ended not OK, Thu Jun 16 17:01:24 EDT 2022, memname: LWS_Distribution SESA ID / D ID: SESA576669
Caller's Name: Kesavanarayanan Srikanthan
Call back number: n.a
Email Address: kesavanarayanan.s@atos.ne

ecs02 (LOG_BATCH_JOB_MON) job_name: LWS_Distribution_Monterrey, host_id: cisnt09, message: Ended not OK, Thu Jun 16 17:01:24 EDT 2022, memname: LWS_Distribution

EventID: ATF-NAPCMFTMDX1-EVENT-ab7d9938-cf6f-11ec-91b3-42010a09c409-2239
EventSender: ATF-NAPCMFTMDX1
EventType: PERFORMANCE
EventSenderType: ATF-NAGIOS
EventClass: LOG_BATCH_JOB_MON
EventSeverity: 1
Hostname: ecs02
Message: job_name: LWS_Distribution_Monterrey, host_id: cisnt09, message: Ended not OK, Thu Jun 16 17:01:24 EDT 2022, memname: LWS_Distribution.exe  order_id: 2g26h severity: V status: Not_Noticed  send_time: 20220616170124 last_user:   last_time: , call_type: I alert_id: 450832  data_center: Production
ConfigItemIDType: CIID
ConfigItemID: SNC.G.P01.013938086
SupportGroup: 
TTCategory: Mainframe.JobSchedule.ProdCntl
CorrelationTime: SEV processed event after 5 min  
TimeOccured: 2022-06-16T21:05:10Z
CreatedBy: ATF-EVENTROUTER-1

Additional Attributes:
FunctionalOrganization: SCHNEIDER ELECTRIC
Sev Event Steady State: Stateless
KPIID: dummy1
Sev Event Auto-Close: Auto-Close Stateless Event after Change
TicketSummary: ecs02 (LOG_BATCH_JOB_MON) job_name: LWS_Distribution_Monterrey, host_id: cisnt09, message: Ended not OK, Thu Jun 16 17:01:24 EDT 2022, memname: LWS_Distribution.exe  order_id: 2g26h severity: V status: Not_Noticed  send_time: 20220616170124 last_user:   last_time: , call_type: I alert_id: 450832  data_center: Production
EMKR: UMF

============================================================

Kesavanarayanan S
Work notes•2022-06-17 08:30:49
A ticket needs to be assigned DPSMAN with sev2.","Problem: ecs02 (LOG_BATCH_JOB_MON) job_name: LWS_Distribution_Monterrey, host_id: cisnt09, message: Ended not OK, Thu Jun 16 17:01:24 EDT 2022, memname: LWS_Distribution
 
Cause: [ Main Cause Type:Infrastructure;Sub Cause Type: DB server down ]
 
Action: Monterrey P3 lost its intenert connection for several hours, wait for imadb01.m024.mx.schneider-electric.com to come back on line to restart job from top. It completed fine.
 
Customer Confirmation: N/A"
DPSMAN Global L2,"ecs02 (LOG_BATCH_JOB_MON) job_name: LWS_Distribution_Tlaxcala, host_id: cisnt09, message: Ended not OK EventID: ATF-NAMUMFTMDX01-EVENT-854e9cb8-71e1-11eb-82e9-005056ab4d4f-5127282
EventSender: ATF-NAMUMFTMDX01
EventType: PERFORMANCE
EventSenderType: ATF-UMF-NAM1
EventClass: LOG_BATCH_JOB_MON
EventSeverity: 1
Hostname: ecs02
Message: job_name: LWS_Distribution_Tlaxcala, host_id: cisnt09, message: Ended not OK, Wed Apr 27 14:00:40 EDT 2022, memname: LWS_Distribution.exe  order_id: 2f12s severity: V status: Not_Noticed  send_time: 20220427140040 last_user:   last_time: , call_type: I alert_id: 445431  data_center: Production
ConfigItemIDType: CIID
ConfigItemID: SNC.G.P01.013938086
SupportGroup: 
TTCategory: Mainframe.JobSchedule.ProdCntl
CorrelationTime: SEV processed event after 5 min  
TimeOccured: 2022-04-27T18:03:11Z
CreatedBy: ATF-EVENTROUTER-1

Additional Attributes:
EventSteadyState: Stateless
TicketSummary: ecs02 (LOG_BATCH_JOB_MON) job_name: LWS_Distribution_Tlaxcala, host_id: cisnt09, message: Ended not OK, Wed Apr 27 14:00:40 EDT 2022, memname: LWS_Distribution.exe  order_id: 2f12s severity: V status: Not_Noticed  send_time: 20220427140040 last_user:   last_time: , call_type: I alert_id: 445431  data_center: Production
KPIID: dummy1
EMKR: UMF
FunctionalOrganization: SCHNEIDER ELECTRIC


MK
Manisha Kumari
Work notes•2022-04-27 14:57:51
FOK as per David and completed fine.

Hi SD team,

Please raise a sev2 ticket to DPSMAN team.
","Problem: ecs02 (LOG_BATCH_JOB_MON) job_name: LWS_Distribution_Tlaxcala, host_id: cisnt09, message: Ended not OK
 
Cause: [ Main Cause Type:Infrastructure;Sub Cause Type: Network issue ]
 
Action: Ran until works.
 
Customer Confirmation: N/A"
DPSMAN Global L2,"ecs02 (LOG_BATCH_JOB_MON) job_name: UXDWDSPR, host_id: es18, message: Ended not OK, Wed Jun  1 07:02:19 EDT 2022, memname: edwdsprd.scr  order_id: 2fqgu severit EventID: ATF-NAPCMFTMDX1-EVENT-ab7d9938-cf6f-11ec-91b3-42010a09c409-1096
EventSender: ATF-NAPCMFTMDX1
EventType: PERFORMANCE
EventSenderType: ATF-NAGIOS
EventClass: LOG_BATCH_JOB_MON
EventSeverity: 1
Hostname: ecs02
Message: job_name: UXDWDSPR, host_id: es18, message: Ended not OK, Wed Jun  1 07:02:19 EDT 2022, memname: edwdsprd.scr  order_id: 2fqgu severity: V status: Not_Noticed  send_time: 20220601070219 last_user:   last_time: , call_type: I alert_id: 448536  data_center: Production
ConfigItemIDType: CIID
ConfigItemID: SNC.G.P01.013938086
SupportGroup: 
TTCategory: Mainframe.JobSchedule.ProdCntl
CorrelationTime: SEV processed event after 5 min  
TimeOccured: 2022-06-01T11:05:10Z
CreatedBy: ATF-EVENTROUTER-1

Additional Attributes:
KPIID: dummy1
FunctionalOrganization: SCHNEIDER ELECTRIC
Sev Event Steady State: Stateless
Sev Event Auto-Close: Auto-Close Stateless Event after Change
TicketSummary: ecs02 (LOG_BATCH_JOB_MON) job_name: UXDWDSPR, host_id: es18, message: Ended not OK, Wed Jun  1 07:02:19 EDT 2022, memname: edwdsprd.scr  order_id: 2fqgu severity: V status: Not_Noticed  send_time: 20220601070219 last_user:   last_time: , call_type: I alert_id: 448536  data_center: Production
EMKR: UMF


KS
Kesavanarayanan S
Work notes •2022-06-01 12:15:24

A ticket needs to be assigned DPSMAN with sev2.","Problem: ecs02 (LOG_BATCH_JOB_MON) job_name: UXDWDSPR, host_id: es18, message: Ended not OK, Wed Jun  1 07:02:19 EDT 2022, memname: edwdsprd.scr  order_id: 2fqgu severit
 
Cause: [ Main Cause Type:Data;Sub Cause Type: Duplicate data ]
 
Action: Force OK completion and wait until next cycle, it'll fix automatically.
 
Customer Confirmation: N/A"
DPSMAN Global L2,"ecs02 (LOG_BATCH_JOB_MON) job_name: UXFASLMX, host_id: es30b.c076.us.schneider-electric.com, message: Ended not OK, Sat May 14 05:37:33 EDT 2022, memname: fas2d ","Problem:UXFASLMX, host_id: es30b.c076.us.schneider-electric.com, message: Ended not OK, 

Cause: [ Main Cause Type:Resource ;Sub Cause Type: Required File not available  ]

Cause description : trying to create a new file where file already exist in the mainframe.
Run special job from ENDEVOR.MFG2PROD.PROD.FAS.JCL.SOURCE(LMFAS211) using owner id CA7MILW
Action taken : Ran an adhoc job which delete teh file after uploading.

after adhoc ran fine restarted the job,Job completed fine.

Customer Confirmation : NA"
DPSMAN Global L2,"es30 (Filesystem_/var/snasal) Filesystem /var/snasal  use 100% of Diskspace es30 (Filesystem_/var/snasal) Filesystem /var/snasal  use 100% of Diskspace

EventID: ATF-NAPCMFTMDX1-EVENT-62ba6ce6-cf6f-11ec-91b3-42010a09c409-11
EventSender: ATF-NAPCMFTMDX1
EventType: PERFORMANCE
EventSenderType: ATF-NAGIOS
EventClass: Filesystem_/var/snasal
EventSeverity: 2
Hostname: es30
Message: Filesystem /var/snasal  use 100% of Diskspace
ConfigItemIDType: CIID
ConfigItemID: SNC.G.P01.013938069
SupportGroup: 
TTCategory: Service Desk.Internal.Other
CorrelationTime: SEV processed event after 5 min  
TimeOccured: 2022-07-19T04:34:13Z
CreatedBy: ATF-EVENTROUTER-1

Additional Attributes:
Sev Event Steady State: Stateful
KPIID: dummy1
FunctionalOrganization: SCHNEIDER ELECTRIC
EMKR: UMF
TicketSummary: es30 (Filesystem_/var/snasal) Filesystem /var/snasal  use 100% of Diskspace
Sev Event Auto-Close: Auto-Close Stateless Event after Change","Problem: es30 (Filesystem_/var/snasal) Filesystem /var/snasal  use 100% of Diskspace
 
Cause: [ Main Cause Type:Infrastructure;Sub Cause Type: Server storage issue ]
 
Action: Wait for UXSWS050 to run and free up space.
 
Customer Confirmation: N/A"
